AVO-Kurztext,AVO-Langtext,VD-Kurztext,Beschreibung,Kurzcode,label
Kardanwelle-rechts 3x platzieren mit Akkuschrauber,- Kardanwelle rechts aus Zwischenablage aufnehmen - 3x platzieren an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Kardanwelle an Schwenklager,3x platzieren von Kardanwelle rechts,3000SA4....3,3
Kardanwelle-unten 4x scannen mit HG,- Kardanwelle unten aus Zwischenablage aufnehmen - 4x scannen an Position - HG verwenden - Qualitätskontrolle durchführen,Montage Kardanwelle,Vorbereitung für scannen von Kardanwelle,PT.SEC,2
Bremssattel-hinten montieren mit Zange,- Bremssattel hinten aus Zwischenablage aufnehmen - montieren an Position - Zange verwenden - Qualitätskontrolle durchführen,Montage Bremssattel,montieren von Bremssattel hinten,PT.SEC,4
Bremssattel-hinten 4x heften mit EC-Schrauber,- Bremssattel hinten aus Zwischenablage aufnehmen - 4x heften an Position - EC-Schrauber verwenden - Qualitätskontrolle durchführen,Einbau Bremssattel,Abschluss heften von Bremssattel hinten,M-PCO.1,3
Bremsabschirmblech-hinten 3x scannen mit HG,- Bremsabschirmblech hinten aus Zwischenablage aufnehmen - 3x scannen an Position - HG verwenden - Qualitätskontrolle durchführen,Montage Bremsabschirmblech,3x scannen von Bremsabschirmblech hinten,SEC,1
Schraube-vorne 2x verschrauben,- Schraube vorne aus Zwischenablage aufnehmen - 2x verschrauben an Position - Qualitätskontrolle durchführen,Schraube an Querlenker,Schraube vorne verschrauben und positionieren,PT.SEC,3
Schraube-unten 2x holen mit Zange,- Schraube unten aus Zwischenablage aufnehmen - 2x holen an Position - Zange verwenden - Qualitätskontrolle durchführen,Schraube an Schwenklager,Abschluss holen von Schraube unten,LO-ZAL,2
Bremssattel-hinten 2x aufnehmen mit Zange,- Bremssattel hinten aus Zwischenablage aufnehmen - 2x aufnehmen an Position - Zange verwenden - Qualitätskontrolle durchführen,Bremssattel an Querlenker,Bremssattel hinten aufnehmen und positionieren,LO-YUW,0
Bremsdruckleitung-hinten aufnehmen mit Akkuschrauber,- Bremsdruckleitung hinten aus Zwischenablage aufnehmen - aufnehmen an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Bremsdruckleitung an Schwenklager,aufnehmen von Bremsdruckleitung hinten,LO-OGO,1
Bremsdruckleitung-unten 3x holen,- Bremsdruckleitung unten aus Zwischenablage aufnehmen - 3x holen an Position - Qualitätskontrolle durchführen,Bremsdruckleitung an Dämpferstelze,Bremsdruckleitung unten holen und positionieren,PT.SEC,0
Bremsabschirmblech-hinten 6x scannen mit Scanner,- Bremsabschirmblech hinten aus Zwischenablage aufnehmen - 6x scannen an Position - Scanner verwenden - Qualitätskontrolle durchführen,Einbau Bremsabschirmblech,Vorbereitung für scannen von Bremsabschirmblech,LO-LAJ,0
Bremsabschirmblech-links 4x heften mit Akkuschrauber,- Bremsabschirmblech links aus Zwischenablage aufnehmen - 4x heften an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Montage Bremsabschirmblech,4x heften von Bremsabschirmblech links,3000NP1....4,1
Kabelbinder-vorne 4x scannen mit HG,- Kabelbinder vorne aus Zwischenablage aufnehmen - 4x scannen an Position - HG verwenden - Qualitätskontrolle durchführen,Montage Kabelbinder,Vorbereitung für scannen von Kabelbinder,LO-NYB,0
Schraube-oben 6x verschrauben mit Scanner,- Schraube oben aus Zwischenablage aufnehmen - 6x verschrauben an Position - Scanner verwenden - Qualitätskontrolle durchführen,Montage Schraube,6x verschrauben von Schraube oben,PT.SEC,3
Bremsabschirmblech-vorne 3x aufnehmen mit Scanner,- Bremsabschirmblech vorne aus Zwischenablage aufnehmen - 3x aufnehmen an Position - Scanner verwenden - Qualitätskontrolle durchführen,Bremsabschirmblech an Spurstange,3x aufnehmen von Bremsabschirmblech vorne,LO-VWX,0
Bremsdruckleitung-hinten aufnehmen mit EC-Schrauber,- Bremsdruckleitung hinten aus Zwischenablage aufnehmen - aufnehmen an Position - EC-Schrauber verwenden - Qualitätskontrolle durchführen,Montage Bremsdruckleitung,Bremsdruckleitung hinten aufnehmen und positionieren,SEC,5
Bremssattel-hinten 4x verschrauben,- Bremssattel hinten aus Zwischenablage aufnehmen - 4x verschrauben an Position - Qualitätskontrolle durchführen,Bremssattel an Querlenker,Abschluss verschrauben von Bremssattel hinten,PT.SEC,0
Kardanwelle-links verschrauben mit EC-Schrauber,- Kardanwelle links aus Zwischenablage aufnehmen - verschrauben an Position - EC-Schrauber verwenden - Qualitätskontrolle durchführen,Montage Kardanwelle,verschrauben von Kardanwelle links,PT.SEC,4
Kabelbinder-unten 4x montieren mit Scanner,- Kabelbinder unten aus Zwischenablage aufnehmen - 4x montieren an Position - Scanner verwenden - Qualitätskontrolle durchführen,Kabelbinder an Schwenklager,Abschluss montieren von Kabelbinder unten,PT.SEC,3
Luftleitelement-vorne 6x holen mit EC-Schrauber,- Luftleitelement vorne aus Zwischenablage aufnehmen - 6x holen an Position - EC-Schrauber verwenden - Qualitätskontrolle durchführen,Montage Luftleitelement,Vorbereitung für holen von Luftleitelement,PT.SEC,0
Schraube-vorne heften mit HG,- Schraube vorne aus Zwischenablage aufnehmen - heften an Position - HG verwenden - Qualitätskontrolle durchführen,Einbau Schraube,Vorbereitung für heften von Schraube,M-AJS.1,0
Kabelbinder-unten 6x scannen mit HG,- Kabelbinder unten aus Zwischenablage aufnehmen - 6x scannen an Position - HG verwenden - Qualitätskontrolle durchführen,Montage Kabelbinder,Kabelbinder unten scannen und positionieren,SEC,0
Bremsabschirmblech-unten 2x montieren mit Zange,- Bremsabschirmblech unten aus Zwischenablage aufnehmen - 2x montieren an Position - Zange verwenden - Qualitätskontrolle durchführen,Montage Bremsabschirmblech,Vorbereitung für montieren von Bremsabschirmblech,PT.SEC,0
Luftleitelement-unten holen mit EC-Schrauber,- Luftleitelement unten aus Zwischenablage aufnehmen - holen an Position - EC-Schrauber verwenden - Qualitätskontrolle durchführen,Luftleitelement an Dämpferstelze,Abschluss holen von Luftleitelement unten,PT.SEC,2
Bremsabschirmblech-hinten 2x holen,- Bremsabschirmblech hinten aus Zwischenablage aufnehmen - 2x holen an Position - Qualitätskontrolle durchführen,Einbau Bremsabschirmblech,Abschluss holen von Bremsabschirmblech hinten,SEC,2
Kabelbinder-rechts 6x montieren mit HG,- Kabelbinder rechts aus Zwischenablage aufnehmen - 6x montieren an Position - HG verwenden - Qualitätskontrolle durchführen,Montage Kabelbinder,6x montieren von Kabelbinder rechts,LO-TES,1
Schraube-oben 4x montieren mit Akkuschrauber,- Schraube oben aus Zwischenablage aufnehmen - 4x montieren an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Einbau Schraube,Vorbereitung für montieren von Schraube,LO-POV,3
Bremsdruckleitung-hinten 2x aufnehmen mit Akkuschrauber,- Bremsdruckleitung hinten aus Zwischenablage aufnehmen - 2x aufnehmen an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Bremsdruckleitung an Schwenklager,Bremsdruckleitung hinten aufnehmen und positionieren,3000GJ2....4,3
Kardanwelle-vorne 2x scannen mit Zange,- Kardanwelle vorne aus Zwischenablage aufnehmen - 2x scannen an Position - Zange verwenden - Qualitätskontrolle durchführen,Einbau Kardanwelle,2x scannen von Kardanwelle vorne,LO-HST,0
Kabelbinder-links 4x verschrauben mit EC-Schrauber,- Kabelbinder links aus Zwischenablage aufnehmen - 4x verschrauben an Position - EC-Schrauber verwenden - Qualitätskontrolle durchführen,Einbau Kabelbinder,4x verschrauben von Kabelbinder links,M-PFG.2,3
Bremsdruckleitung-unten 3x montieren mit Akkuschrauber,- Bremsdruckleitung unten aus Zwischenablage aufnehmen - 3x montieren an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Montage Bremsdruckleitung,Bremsdruckleitung unten montieren und positionieren,M-TNP.1,0
Kardanwelle-oben 2x aufnehmen mit Zange,- Kardanwelle oben aus Zwischenablage aufnehmen - 2x aufnehmen an Position - Zange verwenden - Qualitätskontrolle durchführen,Montage Kardanwelle,Vorbereitung für aufnehmen von Kardanwelle,3000CO5....1,3
Kardanwelle-hinten scannen mit Scanner,- Kardanwelle hinten aus Zwischenablage aufnehmen - scannen an Position - Scanner verwenden - Qualitätskontrolle durchführen,Kardanwelle an Spurstange,scannen von Kardanwelle hinten,PT.SEC,0
Schraube-unten 6x platzieren mit Scanner,- Schraube unten aus Zwischenablage aufnehmen - 6x platzieren an Position - Scanner verwenden - Qualitätskontrolle durchführen,Schraube an Querlenker,Vorbereitung für platzieren von Schraube,SEC,0
Luftleitelement-oben scannen mit Akkuschrauber,- Luftleitelement oben aus Zwischenablage aufnehmen - scannen an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Luftleitelement an Schwenklager,Abschluss scannen von Luftleitelement oben,LO-YBI,0
Schraube-rechts 6x holen,- Schraube rechts aus Zwischenablage aufnehmen - 6x holen an Position - Qualitätskontrolle durchführen,Schraube an Dämpferstelze,Schraube rechts holen und positionieren,SEC,0
Kardanwelle-hinten 2x platzieren mit HG,- Kardanwelle hinten aus Zwischenablage aufnehmen - 2x platzieren an Position - HG verwenden - Qualitätskontrolle durchführen,Montage Kardanwelle,Abschluss platzieren von Kardanwelle hinten,M-QEK.1,3
Luftleitelement-rechts 4x heften mit EC-Schrauber,- Luftleitelement rechts aus Zwischenablage aufnehmen - 4x heften an Position - EC-Schrauber verwenden - Qualitätskontrolle durchführen,Montage Luftleitelement,4x heften von Luftleitelement rechts,M-DNQ.2,3
Bremsdruckleitung-rechts 3x aufnehmen,- Bremsdruckleitung rechts aus Zwischenablage aufnehmen - 3x aufnehmen an Position - Qualitätskontrolle durchführen,Bremsdruckleitung an Dämpferstelze,Abschluss aufnehmen von Bremsdruckleitung rechts,SEC,3
Schraube-unten 3x scannen mit Zange,- Schraube unten aus Zwischenablage aufnehmen - 3x scannen an Position - Zange verwenden - Qualitätskontrolle durchführen,Schraube an Schwenklager,Vorbereitung für scannen von Schraube,3000IJ2....1,0
Schraube-vorne 3x holen mit Akkuschrauber,- Schraube vorne aus Zwischenablage aufnehmen - 3x holen an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Einbau Schraube,3x holen von Schraube vorne,SEC,0
Schraube-rechts platzieren mit Zange,- Schraube rechts aus Zwischenablage aufnehmen - platzieren an Position - Zange verwenden - Qualitätskontrolle durchführen,Montage Schraube,Vorbereitung für platzieren von Schraube,SEC,0
Kardanwelle-vorne 2x heften mit HG,- Kardanwelle vorne aus Zwischenablage aufnehmen - 2x heften an Position - HG verwenden - Qualitätskontrolle durchführen,Kardanwelle an Schwenklager,Kardanwelle vorne heften und positionieren,M-AVO.1,3
Bremsabschirmblech-rechts 4x verschrauben mit EC-Schrauber,- Bremsabschirmblech rechts aus Zwischenablage aufnehmen - 4x verschrauben an Position - EC-Schrauber verwenden - Qualitätskontrolle durchführen,Bremsabschirmblech an Schwenklager,Vorbereitung für verschrauben von Bremsabschirmblech,PT.SEC,0
Kardanwelle-unten heften mit Akkuschrauber,- Kardanwelle unten aus Zwischenablage aufnehmen - heften an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Einbau Kardanwelle,Vorbereitung für heften von Kardanwelle,M-GIA.1,4
Luftleitelement-oben 6x platzieren,- Luftleitelement oben aus Zwischenablage aufnehmen - 6x platzieren an Position - Qualitätskontrolle durchführen,Luftleitelement an Schwenklager,6x platzieren von Luftleitelement oben,LO-OQN,0
Luftleitelement-hinten 6x heften mit Akkuschrauber,- Luftleitelement hinten aus Zwischenablage aufnehmen - 6x heften an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Montage Luftleitelement,6x heften von Luftleitelement hinten,PT.SEC,3
Bremsabschirmblech-links verschrauben mit HG,- Bremsabschirmblech links aus Zwischenablage aufnehmen - verschrauben an Position - HG verwenden - Qualitätskontrolle durchführen,Montage Bremsabschirmblech,verschrauben von Bremsabschirmblech links,PT.SEC,0
Luftleitelement-unten 2x montieren mit HG,- Luftleitelement unten aus Zwischenablage aufnehmen - 2x montieren an Position - HG verwenden - Qualitätskontrolle durchführen,Luftleitelement an Schwenklager,2x montieren von Luftleitelement unten,SEC,1
Kardanwelle-vorne 4x holen mit Scanner,- Kardanwelle vorne aus Zwischenablage aufnehmen - 4x holen an Position - Scanner verwenden - Qualitätskontrolle durchführen,Einbau Kardanwelle,4x holen von Kardanwelle vorne,3000TZ1....2,0
Bremsabschirmblech-hinten 4x montieren mit Akkuschrauber,- Bremsabschirmblech hinten aus Zwischenablage aufnehmen - 4x montieren an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Einbau Bremsabschirmblech,Vorbereitung für montieren von Bremsabschirmblech,SEC,0
Schraube-links montieren mit HG,- Schraube links aus Zwischenablage aufnehmen - montieren an Position - HG verwenden - Qualitätskontrolle durchführen,Montage Schraube,Abschluss montieren von Schraube links,LO-GIN,5
Schraube-links heften mit Scanner,- Schraube links aus Zwischenablage aufnehmen - heften an Position - Scanner verwenden - Qualitätskontrolle durchführen,Einbau Schraube,Abschluss heften von Schraube links,PT.SEC,0
Schraube-rechts 2x platzieren mit Scanner,- Schraube rechts aus Zwischenablage aufnehmen - 2x platzieren an Position - Scanner verwenden - Qualitätskontrolle durchführen,Schraube an Spurstange,Schraube rechts platzieren und positionieren,SEC,0
Bremsdruckleitung-oben 2x aufnehmen mit Zange,- Bremsdruckleitung oben aus Zwischenablage aufnehmen - 2x aufnehmen an Position - Zange verwenden - Qualitätskontrolle durchführen,Bremsdruckleitung an Querlenker,2x aufnehmen von Bremsdruckleitung oben,LO-HGP,0
Bremssattel-unten 3x holen mit Scanner,- Bremssattel unten aus Zwischenablage aufnehmen - 3x holen an Position - Scanner verwenden - Qualitätskontrolle durchführen,Einbau Bremssattel,Abschluss holen von Bremssattel unten,PT.SEC,0
Bremsabschirmblech-vorne 2x scannen mit Scanner,- Bremsabschirmblech vorne aus Zwischenablage aufnehmen - 2x scannen an Position - Scanner verwenden - Qualitätskontrolle durchführen,Einbau Bremsabschirmblech,2x scannen von Bremsabschirmblech vorne,M-FLW.2,1
Bremssattel-oben 3x holen mit Akkuschrauber,- Bremssattel oben aus Zwischenablage aufnehmen - 3x holen an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Montage Bremssattel,3x holen von Bremssattel oben,SEC,0
Luftleitelement-oben 3x verschrauben mit EC-Schrauber,- Luftleitelement oben aus Zwischenablage aufnehmen - 3x verschrauben an Position - EC-Schrauber verwenden - Qualitätskontrolle durchführen,Luftleitelement an Schwenklager,Vorbereitung für verschrauben von Luftleitelement,SEC,1
Bremsdruckleitung-unten 2x scannen mit Scanner,- Bremsdruckleitung unten aus Zwischenablage aufnehmen - 2x scannen an Position - Scanner verwenden - Qualitätskontrolle durchführen,Bremsdruckleitung an Schwenklager,Abschluss scannen von Bremsdruckleitung unten,SEC,2
Schraube-links 2x aufnehmen,- Schraube links aus Zwischenablage aufnehmen - 2x aufnehmen an Position - Qualitätskontrolle durchführen,Schraube an Dämpferstelze,Abschluss aufnehmen von Schraube links,SEC,0
Luftleitelement-vorne heften mit Zange,- Luftleitelement vorne aus Zwischenablage aufnehmen - heften an Position - Zange verwenden - Qualitätskontrolle durchführen,Montage Luftleitelement,heften von Luftleitelement vorne,3000ZY3....2,0
Bremsabschirmblech-unten 4x heften mit EC-Schrauber,- Bremsabschirmblech unten aus Zwischenablage aufnehmen - 4x heften an Position - EC-Schrauber verwenden - Qualitätskontrolle durchführen,Bremsabschirmblech an Dämpferstelze,Bremsabschirmblech unten heften und positionieren,M-UJW.2,0
Kabelbinder-links 2x platzieren mit EC-Schrauber,- Kabelbinder links aus Zwischenablage aufnehmen - 2x platzieren an Position - EC-Schrauber verwenden - Qualitätskontrolle durchführen,Kabelbinder an Schwenklager,2x platzieren von Kabelbinder links,3000SZ3....1,3
Schraube-unten 6x aufnehmen mit EC-Schrauber,- Schraube unten aus Zwischenablage aufnehmen - 6x aufnehmen an Position - EC-Schrauber verwenden - Qualitätskontrolle durchführen,Montage Schraube,Vorbereitung für aufnehmen von Schraube,M-KLR.1,3
Kardanwelle-rechts 4x heften,- Kardanwelle rechts aus Zwischenablage aufnehmen - 4x heften an Position - Qualitätskontrolle durchführen,Montage Kardanwelle,Vorbereitung für heften von Kardanwelle,M-JTM.1,3
Kardanwelle-hinten 4x aufnehmen mit Scanner,- Kardanwelle hinten aus Zwischenablage aufnehmen - 4x aufnehmen an Position - Scanner verwenden - Qualitätskontrolle durchführen,Kardanwelle an Schwenklager,Abschluss aufnehmen von Kardanwelle hinten,LO-MMQ,3
Bremssattel-oben 4x verschrauben mit Scanner,- Bremssattel oben aus Zwischenablage aufnehmen - 4x verschrauben an Position - Scanner verwenden - Qualitätskontrolle durchführen,Bremssattel an Schwenklager,Abschluss verschrauben von Bremssattel oben,LO-TVX,1
Schraube-rechts 2x verschrauben mit Scanner,- Schraube rechts aus Zwischenablage aufnehmen - 2x verschrauben an Position - Scanner verwenden - Qualitätskontrolle durchführen,Schraube an Spurstange,Vorbereitung für verschrauben von Schraube,M-AGX.1,1
Kardanwelle-oben 6x holen mit Scanner,- Kardanwelle oben aus Zwischenablage aufnehmen - 6x holen an Position - Scanner verwenden - Qualitätskontrolle durchführen,Kardanwelle an Dämpferstelze,Vorbereitung für holen von Kardanwelle,SEC,0
